epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4740.71,0.97916,0.80134,1.42603,0.89393,0.82,0.92941,0.59468,1.28744,0.77556,2.01904,0.00026739,0.00026739,0.00026739
79,4801.72,0.98657,0.80231,1.43855,0.87447,0.84,0.92356,0.59991,1.30038,0.75465,2.06841,0.000247192,0.000247192,0.000247192
80,4862.6,0.99421,0.79659,1.45282,0.83577,0.9,0.91815,0.5944,1.28255,0.78514,2.00555,0.000227747,0.000227747,0.000227747
81,4923.66,1.00491,0.79466,1.45536,0.84517,0.92,0.92958,0.60111,1.27166,0.76213,1.99259,0.000209073,0.000209073,0.000209073
82,4984.82,0.98183,0.77349,1.44004,0.84621,0.9,0.92687,0.59993,1.32097,0.72824,2.08465,0.00019119,0.00019119,0.00019119
83,5045.68,1.00509,0.80384,1.47299,0.82885,0.92,0.93069,0.60377,1.30242,0.72539,2.07172,0.000174115,0.000174115,0.000174115
84,5106.78,0.97618,0.77692,1.43615,0.83487,0.92,0.92905,0.59849,1.31679,0.73036,2.09402,0.000157865,0.000157865,0.000157865
85,5167.79,0.97692,0.78679,1.43398,0.8287,0.92,0.93268,0.61601,1.31463,0.71877,2.09172,0.000142456,0.000142456,0.000142456
86,5228.73,0.94293,0.75089,1.40047,0.85767,0.90391,0.92853,0.59743,1.30891,0.74962,2.06376,0.000127904,0.000127904,0.000127904
87,5289.7,0.98649,0.77596,1.43364,0.83261,0.95,0.93819,0.60276,1.31178,0.72822,2.09807,0.000114221,0.000114221,0.000114221
88,5350.47,0.97428,0.78002,1.43095,0.85243,0.93,0.93378,0.60107,1.28567,0.7308,2.04876,0.000101423,0.000101423,0.000101423
89,5411.18,0.98128,0.76733,1.43437,0.86543,0.94,0.93267,0.59396,1.28268,0.75502,2.02887,8.95213e-05,8.95213e-05,8.95213e-05
90,5471.9,0.95947,0.75797,1.4175,0.83794,0.92,0.92412,0.58058,1.3115,0.74209,2.07901,7.8528e-05,7.8528e-05,7.8528e-05
91,5532.7,0.97209,0.7693,1.42793,0.83773,0.92928,0.92947,0.5868,1.30002,0.74157,2.08079,6.8454e-05,6.8454e-05,6.8454e-05
92,5593.51,0.9661,0.77484,1.44135,0.83812,0.93197,0.93626,0.5941,1.29195,0.73713,2.05763,5.93093e-05,5.93093e-05,5.93093e-05
93,5654.53,0.97836,0.7934,1.43622,0.85226,0.923,0.93813,0.59843,1.28145,0.72962,2.05116,5.11027e-05,5.11027e-05,5.11027e-05
94,5715.38,0.97246,0.80556,1.42254,0.83619,0.91887,0.93382,0.59612,1.28213,0.73731,2.05241,4.38424e-05,4.38424e-05,4.38424e-05
95,5776.14,0.96345,0.75778,1.43053,0.83629,0.91949,0.93473,0.59475,1.29873,0.73761,2.06945,3.75356e-05,3.75356e-05,3.75356e-05
96,5845.71,0.78128,0.58159,1.34686,0.84437,0.9,0.90481,0.55205,1.35471,0.80184,2.18419,3.21885e-05,3.21885e-05,3.21885e-05
97,5905.81,0.78486,0.55598,1.3511,0.8397,0.89054,0.92199,0.5682,1.33319,0.7792,2.14751,2.78064e-05,2.78064e-05,2.78064e-05
98,5965.98,0.75563,0.52534,1.32329,0.81549,0.91,0.91905,0.57251,1.32302,0.76517,2.14246,2.43937e-05,2.43937e-05,2.43937e-05
99,6026.51,0.78361,0.52888,1.34791,0.85779,0.82,0.91733,0.57161,1.31774,0.76356,2.13475,2.19535e-05,2.19535e-05,2.19535e-05
100,6087.14,0.75885,0.51125,1.32138,0.89979,0.80815,0.9172,0.56662,1.31433,0.76013,2.1479,2.04885e-05,2.04885e-05,2.04885e-05
